"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－個案基本資料欄位對應"
"HNBaseDataModel","HNBaseDataModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－個案基本資料邏輯模型","描述居家護理個案基本資料的資料需求。依 V5.0.16 有效欄位建立，來源欄位對應另列於 Mapping。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNBaseDataModel.caseID","HNBaseDataModel.caseID","","","",1,1,"","","","string {[]} {[]}
","個案身分證字號","個案身分證字號","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.caseID",1,1,"","","QuestionnaireResponse.item.where(linkId='CaseID')"
"HNBaseDataModel.endDate","HNBaseDataModel.endDate","","","",1,1,"","","","date {[]} {[]}
","收案日期","收案日期","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.endDate",1,1,"","","QuestionnaireResponse.item.where(linkId='EndDate')"
"HNBaseDataModel.caseSource","HNBaseDataModel.caseSource","","","",1,1,"","","","BackboneElement {[]} {[]}
","收案來源","收案來源","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.caseSource",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='CaseSource')"
"HNBaseDataModel.caseSource.id","HNBaseDataModel.caseSource.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.caseSource.extension","HNBaseDataModel.caseSource.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.caseSource.modifierExtension","HNBaseDataModel.caseSource.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.caseSource.value","HNBaseDataModel.caseSource.value","","","",1,1,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-ef3233b113ad","",,,,"HNBaseDataModel.caseSource.value",1,1,"","","QuestionnaireResponse.item.where(linkId='CaseSource').item.where(linkId='CaseSource.Value')"
"HNBaseDataModel.caseSource.other","HNBaseDataModel.caseSource.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.caseSource.other",0,1,"","","QuestionnaireResponse.item.where(linkId='CaseSource').item.where(linkId='CaseSource.Other')"
"HNBaseDataModel.caseName","HNBaseDataModel.caseName","","","",1,1,"","","","string {[]} {[]}
","個案姓名","個案姓名","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.caseName",1,1,"","","QuestionnaireResponse.item.where(linkId='CaseName')"
"HNBaseDataModel.sex","HNBaseDataModel.sex","","","",1,1,"","","","BackboneElement {[]} {[]}
","性別","性別","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.sex",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Sex')"
